"$€ Freestyle","Sfera Ebbasta","Famoso","le mie hit e recenti","Playlist","ITUM72001155","2j9wr1cxfYcMJoANfmoJA9"
"Swimming Pools (Drank)","Kendrick Lamar","Swimming Pools (Drank)","le mie hit e recenti","Playlist","USUM71207642","6REbwUNlppTfcnV4d4ZoZi"
"25 ore RMX (feat. Ernia & Shablo)","Guè","Mr. Fini","le mie hit e recenti","Playlist","ITUM72001313","0Q7Y2E8cj8uvNXI3hs9Mvc"
"Musica Ovunque","Nayt","MOOD","le mie hit e recenti","Playlist","ITHZX2000002","31m7HX5tiLNouPjN4OB8ng"
"Favolacce","Nayt","MOOD","le mie hit e recenti","Playlist","ITHZX2000003","13YoDULeaKElOxlr0eFeEk"
"Mystery Lady (feat. Don Toliver)","Masego","Mystery Lady (feat. Don Toliver)","le mie hit e recenti","Playlist","USUM72021142","2Ee9amLUslOwgoJWZEpSSD"
"Ladro Di Fiori","BLANCO","Ladro Di Fiori","le mie hit e recenti","Playlist","ITUM72001098","2vsxduDEhjLTFcxd0hSVv5"
"When You Down (with Polo G feat. Lil Durk)","Lil Tecca","Virgo World","le mie hit e recenti","Playlist","USUM72018014","5kTn07V96U8LyoQgz6DZzX"
"Out Of Love (feat. Internet Money)","Lil Tecca","Virgo World","le mie hit e recenti","Playlist","USUM72007332","0IJA9KP6rT55jrP1YpTdhx"
"LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo)","MACE","LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo)","le mie hit e recenti","Playlist","ITUM72001370","0aQi1JGO1oKWEmKGfvf8TF"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","TESTING","le mie hit e recenti","Playlist","USRC11800930","7ycWLEP1GsNjVvcjawXz3z"
"Guerra E Pace","PSICOLOGI","2001","le mie hit e recenti","Playlist","ITLGE1900060","2puGJHRifrmNO7gTAeWm0z"
"Space Cadet (feat. Gunna)","Metro Boomin","NOT ALL HEROES WEAR CAPES (Deluxe)","le mie hit e recenti","Playlist","USUG11802484","1fewSx2d5KIZ04wsooEBOz"
"COLPA TUA ⫷⫸ (con VENERUS & GUÈ PEQUENO)","MACE","OBE","le mie hit e recenti","Playlist","ITUM72001373","3ILta8SPlsWdOueRYzc5mL"
