Timestamp [dd.mm.yyyy,hh:mm:ss,ss]	GPS\Position\Latitude [°] : [1]	GPS\Position\Longitude [°] : [1]	GPS\Position\Distance (GPS) (obsolete) [m] : [1]	GPS\Speed Info\Speed [km/h] : [1]	GPS\Speed Info\Heading [°] : [1]	GSM NWS\Scan Cycles\Average Scan Cycle Time Total [ms] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BCCH[1] [ChanNr] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BCCH[2] [ChanNr] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BCCH[3] [ChanNr] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BCCH[4] [ChanNr] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BCCH[5] [ChanNr] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BCCH[6] [ChanNr] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BCCH[7] [ChanNr] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BCCH[8] [ChanNr] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BCCH[9] [ChanNr] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BCCH[10] [ChanNr] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BCCH[11] [ChanNr] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BCCH[12] [ChanNr] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BCCH[13] [ChanNr] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BCCH[14] [ChanNr] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BCCH[15] [ChanNr] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BCCH[16] [ChanNr] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BCCH[17] [ChanNr] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BCCH[18] [ChanNr] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BCCH[19] [ChanNr] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 PSCH[1] [dBm] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 PSCH[2] [dBm] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 PSCH[3] [dBm] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 PSCH[4] [dBm] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 PSCH[5] [dBm] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 PSCH[6] [dBm] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 PSCH[7] [dBm] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 PSCH[8] [dBm] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 PSCH[9] [dBm] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 PSCH[10] [dBm] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 PSCH[11] [dBm] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 PSCH[12] [dBm] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 PSCH[13] [dBm] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 PSCH[14] [dBm] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 PSCH[15] [dBm] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 PSCH[16] [dBm] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 PSCH[17] [dBm] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 PSCH[18] [dBm] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 PSCH[19] [dBm] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BTS Name[1] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BTS Name[2] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BTS Name[3] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BTS Name[4] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BTS Name[5] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BTS Name[6] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BTS Name[7] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BTS Name[8] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BTS Name[9] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BTS Name[10] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BTS Name[11] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BTS Name[12] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BTS Name[13] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BTS Name[14] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BTS Name[15] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BTS Name[16] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BTS Name[17] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BTS Name[18] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BTS Name[19] : [1]
17.01.2024,13:21:38,279	43,482736	11,871588	46,79	69,94	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,331	43,482744	11,871591	47,79	69,93	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-106,64	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,384	43,482753	11,871594	48,8	69,92	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-98,16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,435	43,482762	11,871597	49,78	69,91	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,44	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,488	43,48277	11,8716	50,79	69,9	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,540	43,482779	11,871602	51,79	69,89	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,48	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,593	43,482788	11,871606	52,81	69,88	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,649	43,482797	11,871609	53,88	69,87	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,84	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,701	43,482806	11,871612	54,87	69,86	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,753	43,482815	11,871615	55,87	69,85	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,805	43,482823	11,871618	56,87	69,84	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,857	43,482832	11,87162	57,86	69,84	13,58	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-94,72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,909	43,482841	11,871623	58,86	69,83	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,28	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,962	43,48285	11,871626	59,87	69,82	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,015	43,482859	11,871629	60,89	69,81	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-99,04	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,067	43,482867	11,871632	61,88	69,8	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,119	43,482876	11,871635	62,88	69,79	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,171	43,482885	11,871638	63,88	69,78	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,224	43,482893	11,871641	64,89	69,77	13,59	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,277	43,482902	11,871644	65,91	69,76	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,328	43,482911	11,871647	66,88	69,75	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,381	43,48292	11,87165	67,9	69,74	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-97,04	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,433	43,482928	11,871653	68,89	69,73	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,44	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,486	43,482937	11,871656	69,91	69,72	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,84	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,538	43,482946	11,871659	70,9	69,71	13,6	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-98,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,591	43,482955	11,871662	71,92	69,7	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-109,2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,642	43,482963	11,871665	72,9	69,69	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-99,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,707	43,482974	11,871669	74,14	69,68	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-99,84	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,758	43,482983	11,871672	75,12	69,67	13,61	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,28	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,811	43,482992	11,871675	76,13	69,66	13,61	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:39,863	43,482999	11,871677	77,03	69,67	13,61	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-113,04	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,489	43,483093	11,871711	87,84	69,77	13,58	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-110,72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,542	43,483101	11,871714	88,76	69,78	13,57	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,594	43,483109	11,871716	89,65	69,79	13,57	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-101,2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,647	43,483117	11,871719	90,57	69,8	13,57	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,96	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,698	43,483125	11,871722	91,45	69,81	13,57	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,96	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,751	43,483133	11,871725	92,36	69,81	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-112,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,815	43,483142	11,871728	93,47	69,82	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-109,2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,867	43,48315	11,871731	94,37	69,83	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,920	43,483158	11,871734	95,32	69,84	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-116,8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:40,972	43,483168	11,871737	96,4	69,85	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-112,32	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,025	43,483178	11,87174	97,51	69,85	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-110,08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,076	43,483187	11,871744	98,57	69,85	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,129	43,483196	11,871747	99,68	69,86	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-101,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,181	43,483206	11,87175	100,76	69,86	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-109,76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,233	43,483215	11,871753	101,85	69,87	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-114,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,285	43,483225	11,871756	102,93	69,87	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-116,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,338	43,483235	11,871759	104,04	69,87	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-106	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,390	43,483244	11,871763	105,12	69,88	13,56	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:41,443	43,483254	11,871766	106,23	69,88	13,55	52	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
