Timestamp [dd.mm.yyyy,hh:mm:ss,ss]	GPS\Position\Latitude [°] : [1]	GPS\Position\Longitude [°] : [1]	GPS\Position\Distance (GPS) (obsolete) [m] : [1]	GPS\Speed Info\Speed [km/h] : [1]	GPS\Speed Info\Heading [°] : [1]	GSM NWS\Scan Cycles\Average Scan Cycle Time Total [ms] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BCCH[1] [ChanNr] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BCCH[2] [ChanNr] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BCCH[3] [ChanNr] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BCCH[4] [ChanNr] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BCCH[5] [ChanNr] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BCCH[6] [ChanNr] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BCCH[7] [ChanNr] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BCCH[8] [ChanNr] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BCCH[9] [ChanNr] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BCCH[10] [ChanNr] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BCCH[11] [ChanNr] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BCCH[12] [ChanNr] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BCCH[13] [ChanNr] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BCCH[14] [ChanNr] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BCCH[15] [ChanNr] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BCCH[16] [ChanNr] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BCCH[17] [ChanNr] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BCCH[18] [ChanNr] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BCCH[19] [ChanNr] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 PSCH[1] [dBm] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 PSCH[2] [dBm] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 PSCH[3] [dBm] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 PSCH[4] [dBm] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 PSCH[5] [dBm] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 PSCH[6] [dBm] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 PSCH[7] [dBm] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 PSCH[8] [dBm] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 PSCH[9] [dBm] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 PSCH[10] [dBm] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 PSCH[11] [dBm] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 PSCH[12] [dBm] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 PSCH[13] [dBm] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 PSCH[14] [dBm] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 PSCH[15] [dBm] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 PSCH[16] [dBm] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 PSCH[17] [dBm] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 PSCH[18] [dBm] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 PSCH[19] [dBm] : [1]	GSM NWS\TOP N Pool 1\1. TOP N Pool 1 BTS Name[1] : [1]	GSM NWS\TOP N Pool 2\1. TOP N Pool 2 BTS Name[2] : [1]	GSM NWS\TOP N Pool 3\1. TOP N Pool 3 BTS Name[3] : [1]	GSM NWS\TOP N Pool 4\1. TOP N Pool 4 BTS Name[4] : [1]	GSM NWS\TOP N Pool 5\1. TOP N Pool 5 BTS Name[5] : [1]	GSM NWS\TOP N Pool 6\1. TOP N Pool 6 BTS Name[6] : [1]	GSM NWS\TOP N Pool 7\1. TOP N Pool 7 BTS Name[7] : [1]	GSM NWS\TOP N Pool 8\1. TOP N Pool 8 BTS Name[8] : [1]	GSM NWS\TOP N Pool 9\1. TOP N Pool 9 BTS Name[9] : [1]	GSM NWS\TOP N Pool 10\1. TOP N Pool 10 BTS Name[10] : [1]	GSM NWS\TOP N Pool 11\1. TOP N Pool 11 BTS Name[11] : [1]	GSM NWS\TOP N Pool 12\1. TOP N Pool 12 BTS Name[12] : [1]	GSM NWS\TOP N Pool 13\1. TOP N Pool 13 BTS Name[13] : [1]	GSM NWS\TOP N Pool 14\1. TOP N Pool 14 BTS Name[14] : [1]	GSM NWS\TOP N Pool 15\1. TOP N Pool 15 BTS Name[15] : [1]	GSM NWS\TOP N Pool 16\1. TOP N Pool 16 BTS Name[16] : [1]	GSM NWS\TOP N Pool 17\1. TOP N Pool 17 BTS Name[17] : [1]	GSM NWS\TOP N Pool 18\1. TOP N Pool 18 BTS Name[18] : [1]	GSM NWS\TOP N Pool 19\1. TOP N Pool 19 BTS Name[19] : [1]
17.01.2024,13:21:37,651	43,482631	11,871552	34,78	69,95	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-101,84	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,703	43,482639	11,871555	35,77	69,97	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-107,52	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,756	43,482648	11,871558	36,78	69,99	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-99,36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,808	43,482657	11,871561	37,78	70,01	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,860	43,482666	11,871564	38,77	70,02	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-105,92	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,913	43,482674	11,871567	39,78	70,01	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,96	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:37,965	43,482683	11,87157	40,78	70	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,018	43,482692	11,871573	41,79	69,99	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-100,72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,070	43,482701	11,871576	42,79	69,98	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104,24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,122	43,482709	11,871579	43,78	69,97	13,56	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-102,56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,174	43,482718	11,871582	44,78	69,96	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-104	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17.01.2024,13:21:38,227	43,482727	11,871585	45,8	69,95	13,57	-999	-999	-999	-999	-999	959	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-103,68	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CECILIANO EX GARITTA	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
